GexfID	Title	IMDB_id	ReleaseDate	Slug	WeightedDegree	Modularity	PathLength	Diameter	ClusteringCoefficient	ConnectedComponents	Density	Edges	Characters
1	10 Things I Hate About You	tt0147800	1999	10-Things-I-Hate-About-You	13,040	0,194	1,779	3,000	0,567	3,000	0,233	225	25
2	12	tt0488478	2007	12	4,227	0,517	2,170	3,000	0,610	6,000	0,077	102	42
3	Twelve and Holding	tt0417385	2005	Twelve-and-Holding	7,333	0,473	2,449	4,000	0,593	2,000	0,140	139	26
5	127 Hours	tt1542344	2010	127-Hours	3,833	0,160	1,722	2,000	0,339	4,000	0,152	33	11
6	1492: Conquest of Paradise	tt0103594	1992	1492:-Conquest-of-Paradise	7,941	0,350	2,043	4,000	0,705	1,000	0,153	164	34
7	15 Minutes	tt0179626	2001	15-Minutes	8,784	0,344	2,114	4,000	0,713	4,000	0,120	265	47
8	17 Again	tt0974661	2009	17-Again	13,027	0,252	1,879	3,000	0,794	2,000	0,192	307	37
9	One Eight Seven	tt0118531	1997	One-Eight-Seven	6,000	0,423	2,206	4,000	0,713	2,000	0,121	116	33
10	2001: A Space Odyssey	tt0062622	1968	2001:-A-Space-Odyssey	8,444	0,450	1,795	3,000	0,879	1,000	0,291	122	27
11	2012	tt1190080	2009	2012	10,600	0,438	2,519	5,000	0,647	3,000	0,089	470	69
13	44 Inch Chest	tt0914837	2009	44-Inch-Chest	33,500	0,163	1,655	3,000	0,636	2,000	0,348	332	12
14	48 Hrs.	tt0083511	1982	48-Hrs.	7,511	0,429	2,049	3,000	0,760	4,000	0,125	210	44
15	(500) Days of Summer	tt1022603	2009	(500)-Days-of-Summer	9,929	0,221	1,833	3,000	0,665	4,000	0,177	173	21
17	8MM	tt0134273	1999	8MM	5,923	0,268	1,834	2,000	0,442	4,000	0,129	96	25
19	A Few Good Men	tt0104257	1992	A-Few-Good-Men	17,533	0,280	2,020	4,000	0,670	2,000	0,175	376	28
21	Above the Law	tt0094602	1988	Above-the-Law	6,766	0,360	2,116	5,000	0,579	8,000	0,089	189	44
22	Absolute Power	tt0118548	1997	Absolute-Power	6,690	0,428	2,319	4,000	0,480	3,000	0,113	137	29
23	The Abyss	tt0096754	1989	The-Abyss	14,667	0,360	1,826	3,000	0,783	5,000	0,170	383	36
24	Ace Ventura: Pet Detective	tt0109040	1994	Ace-Ventura:-Pet-Detective	6,590	0,449	2,103	3,000	0,666	8,000	0,081	210	52
25	Adaptation.	tt0268126	2002	Adaptation.	5,257	0,427	2,446	4,000	0,288	6,000	0,074	116	35
26	The Addams Family	tt0101272	1991	The-Addams-Family	13,733	0,071	1,462	3,000	0,665	3,000	0,419	151	15
27	The Adventures of Buckaroo Banzai Across the 8th Dimension	tt0086856	1984	The-Adventures-of-Buckaroo-Banzai-Across-the-8th-Dimension	11,290	0,346	2,225	5,000	0,547	9,000	0,110	396	52
28	Affliction	tt0118564	1997	Affliction	8,667	0,296	1,899	4,000	0,624	1,000	0,207	140	24
30	After Life	tt0838247	2009	After.Life	7,077	0,342	2,087	3,000	0,616	3,000	0,126	110	28
31	Agnes of God	tt0088683	1985	Agnes-of-God	13,524	0,254	1,514	2,000	0,835	1,000	0,486	164	21
32	Air Force One	tt0118571	1997	Air-Force-One	7,719	0,438	2,465	6,000	0,506	10,000	0,076	302	60
33	Airplane!	tt0080339	1980	Airplane!	5,958	0,511	1,975	4,000	0,556	9,000	0,086	178	46
34	Airplane II: The Sequel	tt0083530	1982	Airplane-II:-The-Sequel	9,043	0,492	2,611	6,000	0,683	10,000	0,061	493	103
36	Ali	tt0248667	2001	Ali	9,128	0,379	2,234	5,000	0,659	3,000	0,088	345	71
38	Alien 3	tt0103644	1992	Alien-3	9,000	0,301	1,807	3,000	0,811	2,000	0,237	119	20
39	Alien Nation	tt0094631	1988	Alien-Nation	7,765	0,342	1,865	3,000	0,762	4,000	0,148	165	34
40	AVP: Alien vs. Predator	tt0370263	2004	AVP:-Alien-vs.-Predator	12,480	0,286	2,033	4,000	0,667	2,000	0,253	209	22
41	Alien: Resurrection	tt0118583	1997	Alien:-Resurrection	26,414	0,150	1,758	4,000	0,658	3,000	0,347	478	27
42	Aliens	tt0090605	1986	Aliens	18,867	0,234	1,791	3,000	0,698	5,000	0,248	401	28
43	All About Eve	tt0042192	1950	All-About-Eve	16,500	0,080	1,567	3,000	0,813	2,000	0,416	234	20
44	All About Steve	tt0881891	2009	All-About-Steve	6,207	0,384	2,237	5,000	0,529	13,000	0,068	229	56
45	All the King's Men	tt0041113	1949	All-the-King's-Men	11,591	0,309	1,945	3,000	0,749	3,000	0,164	303	39
47	Almost Famous	tt0181875	2000	Almost-Famous	13,345	0,339	2,028	4,000	0,730	3,000	0,139	462	53
48	Alone in the Dark	tt0369226	2005	Alone-in-the-Dark	8,552	0,267	2,211	4,000	0,560	3,000	0,175	152	26
49	Amadeus	tt0086879	1984	Amadeus	11,020	0,422	2,265	5,000	0,795	2,000	0,149	290	44
50	Amelia	tt0211915	2001	Amelia	8,375	0,341	2,044	4,000	0,678	4,000	0,112	111	28
51	American Beauty	tt0169547	1999	American-Beauty	9,304	0,278	1,957	3,000	0,563	2,000	0,182	144	23
52	American Gangster	tt0765429	2007	American-Gangster	5,031	0,418	2,385	4,000	0,456	6,000	0,059	176	56
54	American History X	tt0120586	1998	American-History-X	10,146	0,363	2,381	5,000	0,638	2,000	0,141	268	40
57	American Pie	tt0163651	1999	American-Pie	10,810	0,304	1,988	3,000	0,602	7,000	0,130	284	39
58	The American President	tt0112346	1995	The-American-President	9,649	0,352	2,143	4,000	0,701	7,000	0,105	324	56
59	American Psycho	tt0144084	2000	American-Psycho	5,714	0,308	1,818	2,000	0,702	3,000	0,156	99	27
60	American Shaolin	tt0101327	1991	American-Shaolin	7,588	0,421	2,182	3,000	0,639	2,000	0,132	156	32
61	American Splendor	tt0305206	2003	American-Splendor	7,435	0,374	1,915	3,000	0,696	6,000	0,090	162	36
62	An American Werewolf in London	tt0082010	1981	An-American-Werewolf-in-London	6,462	0,353	2,054	4,000	0,523	7,000	0,119	139	37
63	An Education	tt1174732	2009	An-Education	15,800	0,274	1,791	3,000	0,602	3,000	0,242	227	20
64	Analyze That	tt0289848	2002	Analyze-That	7,837	0,396	2,277	5,000	0,651	3,000	0,111	242	48
65	Analyze This	tt0122933	1999	Analyze-This	10,143	0,284	2,000	4,000	0,620	4,000	0,151	263	39
66	Anastasia	tt0118617	1997	Anastasia	9,875	0,340	1,952	3,000	0,821	1,000	0,206	155	27
67	Angel Eyes	tt0225071	2001	Angel-Eyes	7,706	0,355	1,929	3,000	0,788	1,000	0,160	158	33
68	Angels & Demons	tt0808151	2009	Angels-&-Demons	8,129	0,374	2,307	5,000	0,587	4,000	0,131	155	25
69	Annie Hall	tt0075686	1977	Annie-Hall	8,179	0,399	1,863	2,000	0,828	4,000	0,123	254	54
70	The Anniversary Party	tt0254099	2001	The-Anniversary-Party	22,690	0,106	1,552	3,000	0,846	1,000	0,473	412	27
71	Antitrust	tt0218817	2001	Antitrust	8,125	0,369	2,157	5,000	0,663	4,000	0,108	240	46
72	Antz	tt0120587	1998	Antz	9,700	0,296	1,996	4,000	0,678	3,000	0,192	204	39
73	The Apartment	tt0053604	1960	The-Apartment	7,818	0,267	2,045	4,000	0,605	1,000	0,144	151	31
74	Apocalypse Now	tt0078788	1979	Apocalypse-Now	15,409	0,219	1,753	3,000	0,822	2,000	0,251	344	39
76	Apt Pupil	tt0118636	1998	Apt-Pupil	8,750	0,208	1,819	3,000	0,575	4,000	0,203	146	23
80	Army of Darkness	tt0106308	1992	Army-of-Darkness	6,154	0,269	1,810	3,000	0,661	4,000	0,209	85	24
81	As Good as It Gets	tt0119822	1997	As-Good-as-It-Gets	6,971	0,468	2,220	3,000	0,658	1,000	0,124	160	35
82	Assassins	tt0112401	1995	Assassins	4,947	0,414	2,287	4,000	0,321	3,000	0,140	60	17
83	The Assignment	tt0118647	1997	The-Assignment	6,885	0,399	2,508	5,000	0,490	6,000	0,083	137	42
84	At First Sight	tt0132512	1999	At-First-Sight	8,533	0,228	1,803	3,000	0,722	4,000	0,168	159	27
85	Austin Powers: International Man of Mystery	tt0118655	1997	Austin-Powers:-International-Man-of-Mystery	6,192	0,436	2,070	4,000	0,737	6,000	0,090	167	45
86	Austin Powers: The Spy Who Shagged Me	tt0145660	1999	Austin-Powers:-The-Spy-Who-Shagged-Me	5,175	0,497	2,151	4,000	0,526	15,000	0,064	174	56
87	Autumn in New York	tt0174480	2000	Autumn-in-New-York	9,486	0,317	1,881	3,000	0,773	1,000	0,170	204	32
88	Avatar	tt0499549	2009	Avatar	15,125	0,264	1,897	3,000	0,778	2,000	0,222	310	29
89	The Avengers	tt0054518	1961	The-Avengers	8,583	0,220	1,771	2,000	0,617	4,000	0,174	147	23
91	Awakenings	tt0099077	1990	Awakenings	12,364	0,269	1,905	3,000	0,752	3,000	0,176	382	50
92	Babel	tt0449467	2006	Babel	6,486	0,689	3,941	9,000	0,672	2,000	0,058	301	73
